index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey
0,Empty,empty,empty,0,void,n03284308,empty.n.01
1,Wall,wall,wall,1,wall,n04546855,wall.n.01
2,Ceiling,ceiling,ceiling,1,ceiling,n02990373,ceiling.n.01
3,Floor,floor,floor,1,floor,n03365592,floor.n.01
4,Box,unknown,unknown,2,void,n08632096,unknown.n.01
5,100,hanger,hanger,2,cabinet,n03490884,hanger.n.02
6,101,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01
7,102,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01
8,104,desk,desk,2,desk,n03179701,desk.n.01
9,105,desk,desk,2,desk,n03179701,desk.n.01
10,106,office_chair,chair,2,chair,n04373704,swivel_chair.n.01
11,107,desk,desk,2,desk,n03179701,desk.n.01
12,108,desk,desk,2,desk,n03179701,desk.n.01
13,109,coffee_table,table,2,table,n03063968,coffee_table.n.01
14,110,television,television,2,television,n04405907,television_receiver.n.01
15,111,television,television,2,television,n04405907,television_receiver.n.01
16,112,television,television,2,television,n04405907,television_receiver.n.01
17,113,television,television,2,television,n04405907,television_receiver.n.01
18,114,television,television,2,television,n04405907,television_receiver.n.01
19,115,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01
20,116,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01
21,117,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01
22,118,hanger,hanger,2,cabinet,n03490884,hanger.n.02
23,119,coffee_table,table,2,table,n03063968,coffee_table.n.01
24,120,laptop,computer,2,television,n03642806,laptop.n.01
25,121,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
26,122,door,door,2,door,n03221720,door.n.01
27,123,hanger,hanger,2,cabinet,n03490884,hanger.n.02
28,124,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
29,125,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01
30,126,window,window,2,window,n04587648,window.n.01
31,127,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
32,128,stand,stand,2,night_stand,n04301000,stand.n.04
33,129,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01
34,130,plant,plant,2,otherprop,n00017222,plant.n.02
35,131,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01
36,132,sink,sink,2,sink,n04223580,sink.n.01
37,133,door,door,2,door,n03221720,door.n.01
38,134,table_and_chair,table_and_chair,2,table,-,-
39,135,shower,shower,2,shower_curtain,n04208936,shower.n.01
40,136,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01
41,137,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01
42,138,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01
43,139,shower,shower,2,shower_curtain,n04208936,shower.n.01
44,140,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01
45,141,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01
46,142,chair,chair,2,chair,n03001627,chair.n.01
47,143,piano,music,2,otherprop,n03928116,piano.n.01
48,144,mirror,mirror,2,mirror,n03773035,mirror.n.01
49,145,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01
50,146,stand,stand,2,night_stand,n04301000,stand.n.04
51,147,stand,stand,2,night_stand,n04301000,stand.n.04
52,148,book,books,2,otherprop,n02870526,book.n.11
53,149,cup,kitchenware,2,otherprop,n03797390,mug.n.04
54,150,toilet,toilet,2,toilet,n04446276,toilet.n.01
55,151,stairs,stairs,1,floor,n04314914,step.n.04
56,152,stairs,stairs,1,floor,n04314914,step.n.04
57,153,rug,rug,2,floor_mat,n04118021,rug.n.01
58,154,pan,kitchenware,2,otherprop,n03880531,pan.n.01
59,155,sofa,sofa,2,sofa,n04256520,sofa.n.01
60,156,sofa,sofa,2,sofa,n04256520,sofa.n.01
61,157,sofa,sofa,2,sofa,n04256520,sofa.n.01
62,166,armchair,chair,2,chair,n02738535,armchair.n.01
63,167,sofa,sofa,2,sofa,n04256520,sofa.n.01
64,168,sofa,sofa,2,sofa,n04256520,sofa.n.01
65,169,sofa,sofa,2,sofa,n04256520,sofa.n.01
66,170,sofa,sofa,2,sofa,n04256520,sofa.n.01
67,171,coffee_table,table,2,table,n03063968,coffee_table.n.01
68,172,coffee_table,table,2,table,n03063968,coffee_table.n.01
69,173,coffee_table,table,2,table,n03063968,coffee_table.n.01
70,174,coffee_table,table,2,table,n03063968,coffee_table.n.01
71,175,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
72,176,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
73,178,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
74,179,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
75,180,wall_lamp,indoor_lamp,2,lamp,n03636649,lamp.n.02
76,181,sink,sink,2,sink,n04223580,sink.n.01
77,182,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
78,183,sink,sink,2,sink,n04223580,sink.n.01
79,184,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
80,185,game_table,recreation,2,otherprop,n04379243,table.n.02
81,186,sink,sink,2,sink,n04223580,sink.n.01
82,187,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
83,188,shelving,shelving,2,shelves,n04190052,shelf.n.01
84,189,computer,computer,2,television,n03082979,computer.n.01
85,190,baby_bed,bed,2,bed,n02766320,baby_bed.n.01
86,191,bookshelf,shelving,2,bookshelf,n02871439,bookshelf.n.01
87,192,shelving,shelving,2,shelves,n04190052,shelf.n.01
88,193,shelving,shelving,2,shelves,n04190052,shelf.n.01
89,194,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
90,195,stand,stand,2,night_stand,n04301000,stand.n.04
91,196,armchair,chair,2,chair,n02738535,armchair.n.01
92,197,stand,stand,2,night_stand,n04301000,stand.n.04
93,198,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01
94,199,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01
95,200,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01
96,201,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01
97,202,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01
98,203,dressing_table,dressing_table,2,desk,n03238586,dressing_table.n.01
99,204,double_bed,bed,2,bed,n03225988,double_bed.n.01
100,205,double_bed,bed,2,bed,n03225988,double_bed.n.01
101,206,water_dispenser,kitchen_appliance,2,otherprop,n03210683,dispenser.n.01
102,207,shelving,shelving,2,shelves,n04190052,shelf.n.01
103,208,hanger,hanger,2,cabinet,n03490884,hanger.n.02
104,209,window,window,2,window,n04587648,window.n.01
105,210,window,window,2,window,n04587648,window.n.01
106,211,window,window,2,window,n04587648,window.n.01
107,212,window,window,2,window,n04587648,window.n.01
108,213,window,window,2,window,n04587648,window.n.01
109,214,door,door,2,door,n03221720,door.n.01
110,215,television,television,2,television,n04405907,television_receiver.n.01
111,216,television,television,2,television,n04405907,television_receiver.n.01
112,217,hanger,hanger,2,cabinet,n03490884,hanger.n.02
113,218,stereo_set,music,2,otherprop,n04315948,stereo.n.01
114,219,dishwasher,kitchen_appliance,2,otherprop,n03207941,dishwasher.n.01
115,220,food_processor,kitchen_appliance,2,otherprop,n03378174,food_processor.n.01
116,221,coffee_machine,kitchen_appliance,2,otherprop,n03063338,coffee_maker.n.01
117,222,microwave,kitchen_appliance,2,otherprop,n03761084,microwave.n.02
118,223,vacuum_cleaner,household_appliance,2,otherprop,n04517823,vacuum.n.04
119,224,iron,household_appliance,2,otherprop,n03584829,iron.n.04
120,225,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01
121,226,pedestal_fan,fan,2,otherprop,n03320046,fan.n.01
122,227,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01
123,228,television,television,2,television,n04405907,television_receiver.n.01
124,229,towel_rack,bathroom_stuff,2,otherprop,n04459773,towel_rack.n.01
125,230,heater,heater,2,otherprop,n03508101,heater.n.01
126,232,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01
127,233,stand,stand,2,night_stand,n04301000,stand.n.04
128,235,rug,rug,2,floor_mat,n04118021,rug.n.01
129,236,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01
130,237,plant,plant,2,otherprop,n00017222,plant.n.02
131,238,rug,rug,2,floor_mat,n04118021,rug.n.01
132,239,mirror,mirror,2,mirror,n03773035,mirror.n.01
133,240,floor_lamp,indoor_lamp,2,lamp,n03367059,floor_lamp.n.01
134,241,range_hood,kitchen_appliance,2,otherprop,n04053677,range_hood.n.01
135,242,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01
136,243,bottle,kitchenware,2,otherprop,n02876657,bottle.n.01
137,244,glass,kitchenware,2,otherprop,n03438257,glass.n.02
138,245,cutting_board,kitchenware,2,otherprop,n03025513,chopping_board.n.01
139,246,door,door,2,door,n03221720,door.n.01
140,247,door,door,2,door,n03221720,door.n.01
141,248,shelving,shelving,2,shelves,n04190052,shelf.n.01
142,249,chair,chair,2,chair,n03001627,chair.n.01
143,250,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01
144,251,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01
145,252,dining_table,table,2,table,n04379243,table.n.02
146,253,stairs,stairs,1,floor,n04314914,step.n.04
147,254,stairs,stairs,1,floor,n04314914,step.n.04
148,255,chair,chair,2,chair,n03001627,chair.n.01
149,256,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01
150,257,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01
151,258,vase,vase,2,otherprop,n04522168,vase.n.01
152,259,sofa,sofa,2,sofa,n04256520,sofa.n.01
153,260,sofa,sofa,2,sofa,n04256520,sofa.n.01
154,261,sofa,sofa,2,sofa,n04256520,sofa.n.01
155,262,sofa,sofa,2,sofa,n04256520,sofa.n.01
156,263,ironing_board,household_appliance,2,otherprop,n03586090,ironing_board.n.01
157,264,range_oven,kitchen_appliance,2,otherprop,n04330340,stove.n.01
158,265,beer,kitchenware,2,otherprop,n07886849,beer.n.01
159,266,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
160,267,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01
161,268,shelving,shelving,2,shelves,n04190052,shelf.n.01
